event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Steve Bosse,Sean O'Connell,win,U-DEC,3,5:00
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Olivier Aubin-Mercier,Thibault Gouti,win,"SUB

      

        Rear Naked Choke",3,2:28
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Joanne Wood,Valerie Letourneau,win,"KO/TKO

      

        Kick",3,2:44
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Jason Saggo,Leandro Silva,win,S-DEC,3,5:00
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Misha Cirkunov,Ion Cutelaba,win,"SUB

      

        Arm Triangle",3,1:22
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Krzysztof Jotko,Tamdan McCrory,win,"KO/TKO

      

        Punch",1,0:59
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Joe Soto,Chris Beal,win,"SUB

      

        Rear Naked Choke",3,3:39
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Elias Theodorou,Sam Alvey,win,U-DEC,3,5:00
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Randa Markos,Jocelyn Jones-Lybarger,win,U-DEC,3,5:00
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Colby Covington,Jonathan Meunier,win,"SUB

      

        Rear Naked Choke",3,0:54
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Ali Bagautinov,Geane Herrera,win,U-DEC,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,Amanda Nunes,Miesha Tate,win,"SUB

      

        Rear Naked Choke",1,3:16
UFC 200: Tate vs Nunes,2016-07-09,Brock Lesnar,Mark Hunt,"nc


nc",Overturned,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,Daniel Cormier,Anderson Silva,win,U-DEC,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,Jose Aldo,Frankie Edgar,win,U-DEC,5,5:00
UFC 200: Tate vs Nunes,2016-07-09,Cain Velasquez,Travis Browne,win,"KO/TKO

      

        Punches",1,4:57
UFC 200: Tate vs Nunes,2016-07-09,Julianna Pena,Cat Zingano,win,U-DEC,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,Kelvin Gastelum,Johny Hendricks,win,U-DEC,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,TJ Dillashaw,Raphael Assuncao,win,U-DEC,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,Sage Northcutt,Enrique Marin,win,U-DEC,3,5:00
UFC 200: Tate vs Nunes,2016-07-09,Joe Lauzon,Diego Sanchez,win,"KO/TKO

      

        Punches",1,1:26
UFC 200: Tate vs Nunes,2016-07-09,Gegard Mousasi,Thiago Santos,win,"KO/TKO

      

        Punch",1,4:32
UFC 200: Tate vs Nunes,2016-07-09,Jim Miller,Takanori Gomi,win,"KO/TKO

      

        Punches",1,2:18
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Cody Garbrandt,Thomas Almeida,win,"KO/TKO

      

        Punches",1,2:53
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Jeremy Stephens,Renan Barao,win,U-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Rick Story,Tarec Saffiedine,win,U-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Chris Camozzi,Vitor Miranda,win,U-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Lorenz Larkin,Jorge Masvidal,win,S-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Paul Felder,Joshua Burkman,win,U-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Sara McMann,Jessica Eye,win,U-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Abel Trujillo,Jordan Rinaldi,win,U-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Jake Collier,Alberto Uda,win,"KO/TKO

      

        Spinning Back Kick",2,1:06
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Erik Koch,Shane Campbell,win,"SUB

      

        Rear Naked Choke",2,3:02
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Bryan Caraway,Aljamain Sterling,win,S-DEC,3,5:00
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Adam Milstead,Chris de la Rocha,win,"KO/TKO

      

        Punches",2,4:01
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Alistair Overeem,Andrei Arlovski,win,"KO/TKO

      

        Punch",2,1:12
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Stefan Struve,Antonio Silva,win,"KO/TKO

      

        Punch",1,0:16
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Gunnar Nelson,Albert Tumenov,win,"SUB

      

        Rear Naked Choke",2,3:15
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Germaine de Randamie,Anna Elmose,win,"KO/TKO

      

        Knee",1,3:46
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Nikita Krylov,Francimar Barroso,win,"SUB

      

        Rear Naked Choke",2,3:11
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Karolina Kowalkiewicz,Heather Clark,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Rustam Khabilov,Chris Wade,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Magnus Cedenblad,Garreth McLellan,win,"KO/TKO

      

        Kick",2,0:47
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Josh Emmett,Jon Tuck,win,S-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Reza Madadi,Yan Cabral,win,"KO/TKO

      

        Punch",3,1:56
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Kyoji Horiguchi,Neil Seery,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Leon Edwards,Dominic Waters,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Yuta Sasaki,Willie Gates,win,"SUB

      

        Rear Naked Choke",2,3:30
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Eddie Alvarez,Rafael Dos Anjos,win,"KO/TKO

      

        Punches",1,3:49
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Derrick Lewis,Roy Nelson,win,S-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Alan Jouban,Belal Muhammad,win,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Joe Duffy,Mitch Clarke,win,"SUB

      

        Rear Naked Choke",1,0:25
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Alberto Mina,Mike Pyle,win,"KO/TKO

      

        Flying Knee",2,1:17
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,John Makdessi,Mehdi Baghdad,win,S-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Anthony Birchak,Dileno Lopes,win,S-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Pedro Munhoz,Russell Doane,win,"SUB

      

        Guillotine Choke",1,2:08
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Felipe Arantes,Jerrod Sanders,win,"SUB

      

        Armbar",2,1:39
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Gilbert Burns,Lukasz Sajewski,win,"SUB

      

        Armbar",1,4:57
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Marco Beltran,Reginaldo Vieira,win,"SUB

      

        Rear Naked Choke",2,3:04
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Vicente Luque,Alvaro Herrera Mendoza,win,"SUB

      

        D'Arce Choke",2,3:52
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Michael Bisping,Luke Rockhold,win,"KO/TKO

      

        Punch",1,3:36
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Dominick Cruz,Urijah Faber,win,U-DEC,5,5:00
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Max Holloway,Ricardo Lamas,win,U-DEC,3,5:00
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Dan Henderson,Hector Lombard,win,"KO/TKO

      

        Elbow",2,1:27
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Dustin Poirier,King Green,win,"KO/TKO

      

        Punch",1,2:53
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Brian Ortega,Clay Guida,win,"KO/TKO

      

        Knee",3,4:40
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Beneil Dariush,James Vick,win,"KO/TKO

      

        Punch",1,4:16
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Jessica Andrade,Jessica Penne,win,"KO/TKO

      

        Punches",2,2:56
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Alex Caceres,Cole Miller,win,U-DEC,3,5:00
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Sean Strickland,Tom Breese,win,S-DEC,3,5:00
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Henrique da Silva,Jonathan Wilson,win,"KO/TKO

      

        Punches",2,4:11
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Kevin Casey,Elvis Mutapcic,"draw


draw",S-DEC,3,5:00
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Marco Polo Reyes,Dong Hyun Ma,win,"KO/TKO

      

        Punch",3,1:52
UFC on FOX: Teixeira vs Evans,2016-04-16,Glover Teixeira,Rashad Evans,win,"KO/TKO

      

        Punch",1,1:48
UFC on FOX: Teixeira vs Evans,2016-04-16,Rose Namajunas,Tecia Pennington,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,2016-04-16,Khabib Nurmagomedov,Darrell Horcher,win,"KO/TKO

      

        Punches",2,3:38
UFC on FOX: Teixeira vs Evans,2016-04-16,Cub Swanson,Hacran Dias,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,2016-04-16,Michael Chiesa,Beneil Dariush,win,"SUB

      

        Rear Naked Choke",2,1:20
UFC on FOX: Teixeira vs Evans,2016-04-16,Raquel Pennington,Bethe Correia,win,S-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,2016-04-16,Santiago Ponzinibbio,Court McGee,win,"KO/TKO

      

        Punch",1,4:15
UFC on FOX: Teixeira vs Evans,2016-04-16,Michael Graves,Randy Brown,win,"SUB

      

        Rear Naked Choke",2,2:31
UFC on FOX: Teixeira vs Evans,2016-04-16,John Dodson,Manvel Gamburyan,win,"KO/TKO

      

        Punches",1,0:37
UFC on FOX: Teixeira vs Evans,2016-04-16,Cezar Ferreira,Oluwale Bamgbose,win,U-DEC,3,5:00
UFC on FOX: Teixeira vs Evans,2016-04-16,Elizeu Zaleski dos Santos,Omari Akhmedov,win,"KO/TKO

      

        Knee",3,3:03
UFC 197: Jones vs Saint Preux,2016-04-23,Jon Jones,Ovince Saint Preux,win,U-DEC,5,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,Demetrious Johnson,Henry Cejudo,win,"KO/TKO

      

        Knees",1,2:49
UFC 197: Jones vs Saint Preux,2016-04-23,Edson Barboza,Anthony Pettis,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,Robert Whittaker,Rafael Natal,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,Yair Rodriguez,Andre Fili,win,"KO/TKO

      

        Kick",2,2:15
UFC 197: Jones vs Saint Preux,2016-04-23,Sergio Pettis,Chris Kelades,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,Danny Roberts,Dominique Steele,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,Carla Esparza,Juliana Lima,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,James Vick,Glaico Franca Moreira,win,U-DEC,3,5:00
UFC 197: Jones vs Saint Preux,2016-04-23,Walt Harris,Cody East,win,"KO/TKO

      

        Punches",1,4:18
UFC 197: Jones vs Saint Preux,2016-04-23,Marcos Rogerio de Lima,Clint Hester,win,"SUB

      

        Arm Triangle",1,4:35
UFC 197: Jones vs Saint Preux,2016-04-23,Kevin Lee,Efrain Escudero,win,U-DEC,3,5:00
UFC 198: Werdum vs Miocic,2016-05-14,Stipe Miocic,Fabricio Werdum,win,"KO/TKO

      

        Punch",1,2:47
UFC 198: Werdum vs Miocic,2016-05-14,Jacare Souza,Vitor Belfort,win,"KO/TKO

      

        Punches",1,4:38
UFC 198: Werdum vs Miocic,2016-05-14,Cristiane Justino,Leslie Smith,win,"KO/TKO

      

        Punch",1,1:21
UFC 198: Werdum vs Miocic,2016-05-14,Mauricio Rua,Corey Anderson,win,S-DEC,3,5:00
UFC 198: Werdum vs Miocic,2016-05-14,Bryan Barberena,Warlley Alves,win,U-DEC,3,5:00
UFC 198: Werdum vs Miocic,2016-05-14,Demian Maia,Matt Brown,win,"SUB

      

        Rear Naked Choke",3,4:31
UFC 198: Werdum vs Miocic,2016-05-14,Thiago Santos,Nate Marquardt,win,"KO/TKO

      

        Punch",1,3:39
UFC 198: Werdum vs Miocic,2016-05-14,Francisco Trinaldo,Yancy Medeiros,win,U-DEC,3,5:00
UFC 198: Werdum vs Miocic,2016-05-14,John Lineker,Rob Font,win,U-DEC,3,5:00
UFC 198: Werdum vs Miocic,2016-05-14,Rogerio Nogueira,Patrick Cummins,win,"KO/TKO

      

        Punches",1,4:52
UFC 198: Werdum vs Miocic,2016-05-14,Sergio Moraes,Luan Chagas,"draw


draw",S-DEC,3,5:00
UFC 198: Werdum vs Miocic,2016-05-14,Renato Moicano,Zubaira Tukhugov,win,S-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Junior Dos Santos,Ben Rothwell,win,U-DEC,5,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Derrick Lewis,Gabriel Gonzaga,win,"KO/TKO

      

        Punches",1,4:48
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Francis Ngannou,Curtis Blaydes,win,KO/TKO,2,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Timothy Johnson,Marcin Tybura,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Jan Blachowicz,Igor Pokrajac,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Maryna Moroz,Cristina Stanciu,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Zak Cummings,Nicolas Dalby,win,U-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Alejandro Perez,Ian Entwistle,win,"KO/TKO

      

        Punches",1,4:04
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Mairbek Taisumov,Damir Hadzovic,win,"KO/TKO

      

        Punch",1,3:44
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Damian Stasiak,Filip Pejic,win,"SUB

      

        Rear Naked Choke",1,2:16
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Lucas Martins,Robert Whiteford,win,S-DEC,3,5:00
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Jared Cannonier,Cyril Asker,win,"KO/TKO

      

        Punch",1,2:44
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Bojan Velickovic,Alessio Di Chirico,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,2016-03-19,Mark Hunt,Frank Mir,win,"KO/TKO

      

        Punch",1,3:01
UFC Fight Night: Hunt vs Mir,2016-03-19,Neil Magny,Hector Lombard,win,"KO/TKO

      

        Punches",3,0:46
UFC Fight Night: Hunt vs Mir,2016-03-19,Jake Matthews,Johnny Case,win,"SUB

      

        Rear Naked Choke",3,4:45
UFC Fight Night: Hunt vs Mir,2016-03-19,Daniel Kelly,Antonio Carlos Junior,win,"KO/TKO

      

        Punches",3,1:36
UFC Fight Night: Hunt vs Mir,2016-03-19,Steve Bosse,James Te Huna,win,"KO/TKO

      

        Punch",1,0:52
UFC Fight Night: Hunt vs Mir,2016-03-19,Bec Rawlings,Seo Hee Ham,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,2016-03-19,Alan Jouban,Brendan O'Reilly,win,"KO/TKO

      

        Elbow",1,2:15
UFC Fight Night: Hunt vs Mir,2016-03-19,Dan Hooker,Mark Eddiva,win,"SUB

      

        Guillotine Choke",1,1:24
UFC Fight Night: Hunt vs Mir,2016-03-19,Leslie Smith,Rin Nakai,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,2016-03-19,Viscardi Andrade,Richard Walsh,win,U-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,2016-03-19,Ross Pearson,Chad Laprise,win,S-DEC,3,5:00
UFC Fight Night: Hunt vs Mir,2016-03-19,Alan Patrick,Damien Brown,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,2016-03-05,Nate Diaz,Conor McGregor,win,"SUB

      

        Rear Naked Choke",2,4:12
UFC 196: McGregor vs Diaz,2016-03-05,Miesha Tate,Holly Holm,win,"SUB

      

        Rear Naked Choke",5,3:30
UFC 196: McGregor vs Diaz,2016-03-05,Ilir Latifi,Gian Villante,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,2016-03-05,Corey Anderson,Tom Lawlor,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,2016-03-05,Amanda Nunes,Valentina Shevchenko,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,2016-03-05,Siyar Bahadurzada,Brandon Thatch,win,"SUB

      

        Arm Triangle",3,4:11
UFC 196: McGregor vs Diaz,2016-03-05,Nordine Taleb,Erick Silva,win,"KO/TKO

      

        Punch",2,1:34
UFC 196: McGregor vs Diaz,2016-03-05,Vitor Miranda,Marcelo Guimaraes,win,"KO/TKO

      

        Kick",2,1:09
UFC 196: McGregor vs Diaz,2016-03-05,Darren Elkins,Chas Skelly,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,2016-03-05,Diego Sanchez,Jim Miller,win,U-DEC,3,5:00
UFC 196: McGregor vs Diaz,2016-03-05,Jason Saggo,Justin Salas,win,"KO/TKO

      

        Punches",1,4:31
UFC 196: McGregor vs Diaz,2016-03-05,Teruto Ishihara,Julian Erosa,win,"KO/TKO

      

        Punch",2,0:34
UFC Fight Night: Silva vs Bisping,2016-02-27,Michael Bisping,Anderson Silva,win,U-DEC,5,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Gegard Mousasi,Thales Leites,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Tom Breese,Keita Nakamura,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Brad Pickett,Francisco Rivera,win,S-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Makwan Amirkhani,Mike Wilkinson,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Davey Grant,Marlon Vera,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Scott Askham,Chris Dempsey,win,"KO/TKO

      

        Punch",1,4:45
UFC Fight Night: Silva vs Bisping,2016-02-27,Arnold Allen,Yaotzin Meza,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Krzysztof Jotko,Brad Scott,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Rustam Khabilov,Norman Parke,win,U-DEC,3,5:00
UFC Fight Night: Silva vs Bisping,2016-02-27,Daniel Omielanczuk,Jarjis Danho,win,M-DEC,3,1:31
UFC Fight Night: Silva vs Bisping,2016-02-27,Teemu Packalen,Thibault Gouti,win,"SUB

      

        Rear Naked Choke",1,0:24
UFC Fight Night: Silva vs Bisping,2016-02-27,David Teymur,Martin Svensson,win,"KO/TKO

      

        Punch",2,1:26
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Donald Cerrone,Alex Oliveira,win,"SUB

      

        Triangle Choke",1,2:33
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Derek Brunson,Roan Carneiro,win,"KO/TKO

      

        Punches",1,2:38
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Cody Garbrandt,Augusto Mendes,win,"KO/TKO

      

        Punches",1,4:18
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Dennis Bermudez,Tatsuya Kawajiri,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Chris Camozzi,Joe Riggs,win,"KO/TKO

      

        Knees",1,0:26
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,James Krause,Shane Campbell,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Sean Strickland,Alex Garcia,win,"KO/TKO

      

        Punches",3,4:25
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Oluwale Bamgbose,Daniel Sarafian,win,"KO/TKO

      

        Kick",1,1:00
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Anthony Smith,Leonardo Guimaraes,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Nathan Coy,Jonavin Webb,win,U-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Ashlee Evans-Smith,Marion Reneau,win,S-DEC,3,5:00
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Lauren Murphy,Kelly Faszholz,win,"KO/TKO

      

        Punches",3,4:55
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Shamil Abdurakhimov,Anthony Hamilton,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Stephen Thompson,Johny Hendricks,win,"KO/TKO

      

        Punch",1,3:31
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Roy Nelson,Jared Rosholt,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Ovince Saint Preux,Rafael Cavalcante,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Joseph Benavidez,Zach Makovsky,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Misha Cirkunov,Alex Nicholson,win,"SUB

      

        Neck Crank",2,1:28
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Mike Pyle,Sean Spencer,win,"KO/TKO

      

        Elbow",3,4:25
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Joshua Burkman,KJ Noons,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Derrick Lewis,Damian Grabowski,win,"KO/TKO

      

        Punch",1,2:17
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Justin Scoggins,Ray Borg,win,U-DEC,3,5:00
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Diego Rivas,Noad Lahat,win,"KO/TKO

      

        Flying Knee",2,0:23
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Mickey Gall,Mike Jackson,win,"SUB

      

        Rear Naked Choke",1,0:45
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Alex White,Artem Lobov,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Anthony Johnson,Ryan Bader,win,"KO/TKO

      

        Punches",1,1:26
UFC on FOX: Johnson vs. Bader,2016-01-30,Ben Rothwell,Josh Barnett,win,"SUB

      

        Guillotine Choke",2,3:48
UFC on FOX: Johnson vs. Bader,2016-01-30,Jimmie Rivera,Iuri Alcantara,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Bryan Barberena,Sage Northcutt,win,"SUB

      

        Arm Triangle",2,3:06
UFC on FOX: Johnson vs. Bader,2016-01-30,Tarec Saffiedine,Jake Ellenberger,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Diego Ferreira,Olivier Aubin-Mercier,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Rafael Natal,Kevin Casey,win,"KO/TKO

      

        Punches",3,3:37
UFC on FOX: Johnson vs. Bader,2016-01-30,Wilson Reis,Dustin Ortiz,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Alexander Yakovlev,George Sullivan,win,"KO/TKO

      

        Punches",1,3:59
UFC on FOX: Johnson vs. Bader,2016-01-30,Alex Caceres,Masio Fullen,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Randy Brown,Matt Dwyer,win,U-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Damon Jackson,Levan Makashvili,"draw


draw",M-DEC,3,5:00
UFC on FOX: Johnson vs. Bader,2016-01-30,Anthony Rocco Martin,Felipe Olivieri,win,"SUB

      

        Rear Naked Choke",3,3:02
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Rafael Dos Anjos,Donald Cerrone,win,"KO/TKO

      

        Punches",1,1:06
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Alistair Overeem,Junior Dos Santos,win,"KO/TKO

      

        Punches",2,4:43
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Nate Diaz,Michael Johnson,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Karolina Kowalkiewicz,Randa Markos,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Charles Oliveira,Myles Jury,win,"SUB

      

        Guillotine Choke",1,3:05
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Nate Marquardt,CB Dollaway,win,"KO/TKO

      

        Punch",2,0:28
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Valentina Shevchenko,Sarah Kaufman,win,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Tamdan McCrory,Josh Samman,win,"SUB

      

        Triangle Choke",3,4:10
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Nik Lentz,Danny Castillo,win,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Cole Miller,Jim Alers,"nc


nc",CNC,2,1:34
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Kamaru Usman,Leon Edwards,win,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Vicente Luque,Hayder Hassan,win,"SUB

      

        Anaconda Choke",1,2:13
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Francis Ngannou,Luis Henrique,win,"KO/TKO

      

        Punch",2,2:53
UFC 195: Lawler vs Condit,2016-01-02,Robbie Lawler,Carlos Condit,win,S-DEC,5,5:00
UFC 195: Lawler vs Condit,2016-01-02,Stipe Miocic,Andrei Arlovski,win,"KO/TKO

      

        Punch",1,0:54
UFC 195: Lawler vs Condit,2016-01-02,Albert Tumenov,Lorenz Larkin,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,2016-01-02,Brian Ortega,Diego Brandao,win,"SUB

      

        Triangle Choke",3,1:37
UFC 195: Lawler vs Condit,2016-01-02,Abel Trujillo,Tony Sims,win,"SUB

      

        Guillotine Choke",1,3:18
UFC 195: Lawler vs Condit,2016-01-02,Michael McDonald,Masanori Kanehara,win,"SUB

      

        Rear Naked Choke",2,2:09
UFC 195: Lawler vs Condit,2016-01-02,Alex Morono,Kyle Noke,win,S-DEC,3,5:00
UFC 195: Lawler vs Condit,2016-01-02,Justine Kish,Nina Nunes,win,U-DEC,3,5:00
UFC 195: Lawler vs Condit,2016-01-02,Drew Dober,Scott Holtzman,win,U-DEC,3,5:00
