event,event_date,fighter_1,fighter_2,result,f1_kd,f1_sig_str_attempted,f1_sig_str_landed,f1_sub_att,f1_td_attempted,f1_td_landed,f1_total_str_attempted,f1_total_str_landed,f2_kd,f2_sig_str_attempted,f2_sig_str_landed,f2_sub_att,f2_td_attempted,f2_td_landed,f2_total_str_attempted,f2_total_str_landed,method,round,time
UFC Fight Night: Muniz vs. Allen,2023-02-25,Brendan Allen,Andre Muniz,win,0,112,43,0,3,0,114,45,0,102,42,2,1,1,129,64,"SUB

      

        Rear Naked Choke",3,4:25
UFC Fight Night: Muniz vs. Allen,2023-02-25,Augusto Sakai,Don'Tale Mayes,win,0,95,53,0,2,1,173,107,0,62,29,0,1,0,121,77,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,2023-02-25,Tatiana Suarez,Montana De La Rosa,win,0,13,10,1,6,2,43,37,0,11,5,0,0,0,46,36,"SUB

      

        Guillotine Choke",2,2:51
UFC Fight Night: Muniz vs. Allen,2023-02-25,Mike Malott,Yohan Lainesse,win,0,17,9,1,1,1,28,20,0,4,1,0,0,0,4,1,"SUB

      

        Arm Triangle",1,4:15
UFC Fight Night: Muniz vs. Allen,2023-02-25,Trevor Peek,Erick Gonzalez,win,0,29,7,0,6,4,35,11,2,86,51,0,1,0,86,51,"KO/TKO

      

        Punch",1,4:59
UFC Fight Night: Muniz vs. Allen,2023-02-25,Jasmine Jasudavicius,Gabriella Fernandes,win,0,54,24,0,8,4,215,149,0,56,26,0,1,0,86,54,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,2023-02-25,Jordan Leavitt,Victor Martinez,win,1,35,17,0,2,0,38,18,0,28,7,0,0,0,31,9,"KO/TKO

      

        Knees",1,2:27
UFC Fight Night: Muniz vs. Allen,2023-02-25,Ode Osbourne,Charles Johnson,win,0,154,48,0,10,3,157,50,0,127,60,0,5,1,147,74,S-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,2023-02-25,Joe Solecki,Carl Deaton,win,0,8,2,3,3,2,67,49,0,12,1,0,0,0,29,13,"SUB

      

        Rear Naked Choke",2,4:55
UFC Fight Night: Muniz vs. Allen,2023-02-25,Nurullo Aliev,Rafael Alves,win,0,17,6,2,0,0,36,25,0,45,19,0,4,3,140,92,M-DEC,3,5:00
UFC 285: Jones vs. Gane,2023-03-04,Jon Jones,Ciryl Gane,win,0,10,5,1,2,2,14,8,0,8,6,0,0,0,9,7,"SUB

      

        Guillotine Choke",1,2:04
UFC 285: Jones vs. Gane,2023-03-04,Alexa Grasso,Valentina Shevchenko,win,0,145,87,0,6,4,228,167,0,181,59,1,2,0,308,182,"SUB

      

        Rear Naked Choke",4,4:34
UFC 285: Jones vs. Gane,2023-03-04,Shavkat Rakhmonov,Geoff Neal,win,0,145,69,0,0,0,145,69,0,179,113,1,4,0,186,120,"SUB

      

        Rear Naked Choke",3,4:17
UFC 285: Jones vs. Gane,2023-03-04,Mateusz Gamrot,Jalin Turner,win,0,42,29,0,12,4,109,89,1,97,40,0,1,0,119,62,S-DEC,3,5:00
UFC 285: Jones vs. Gane,2023-03-04,Bo Nickal,Jamie Pickett,win,0,4,1,2,4,1,6,3,0,2,1,0,0,0,2,1,"SUB

      

        Arm Triangle",1,2:54
UFC 285: Jones vs. Gane,2023-03-04,Cody Garbrandt,Trevin Jones,win,0,33,26,0,3,2,40,33,0,69,20,1,2,1,79,30,U-DEC,3,5:00
UFC 285: Jones vs. Gane,2023-03-04,Dricus Du Plessis,Derek Brunson,win,0,84,37,1,2,1,90,43,1,115,71,1,2,1,132,84,"KO/TKO

      

        Punches",2,4:59
UFC 285: Jones vs. Gane,2023-03-04,Amanda Ribas,Viviane Araujo,win,0,115,46,2,0,0,162,86,0,183,98,0,2,2,320,205,U-DEC,3,5:00
UFC 285: Jones vs. Gane,2023-03-04,Marc-Andre Barriault,Julian Marquez,win,0,171,82,0,1,0,172,83,0,222,109,0,0,0,246,127,"KO/TKO

      

        Punches",2,4:12
UFC 285: Jones vs. Gane,2023-03-04,Ian Machado Garry,Song Kenan,win,1,231,127,0,0,0,231,127,1,110,55,0,3,2,120,61,"KO/TKO

      

        Punches",3,4:22
UFC 285: Jones vs. Gane,2023-03-04,Cameron Saaiman,Mana Martinez,win,0,148,60,0,0,0,160,63,1,240,117,0,1,1,272,146,M-DEC,3,5:00
UFC 285: Jones vs. Gane,2023-03-04,Tabatha Ricci,Jessica Penne,win,0,25,6,0,1,0,44,19,0,54,36,1,5,4,109,81,"SUB

      

        Armbar",2,2:14
UFC 285: Jones vs. Gane,2023-03-04,Farid Basharat,Da'Mon Blackshear,win,0,117,46,1,6,1,164,91,0,96,58,0,6,3,115,76,U-DEC,3,5:00
UFC 285: Jones vs. Gane,2023-03-04,Loik Radzhabov,Esteban Ribovics,win,1,129,66,1,1,0,162,98,0,85,40,0,21,11,117,67,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Erin Blanchfield,Jessica Andrade,win,0,143,53,0,1,0,147,56,0,120,51,1,3,1,124,53,"SUB

      

        Rear Naked Choke",2,1:37
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Zac Pauga,Jordan Wright,win,0,78,29,0,1,0,261,199,0,85,59,0,6,0,114,85,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Jamal Pogues,Josh Parisian,win,0,113,37,0,2,1,137,51,0,60,33,0,11,5,79,49,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Marcin Prachnio,William Knight,win,0,33,8,0,3,0,33,8,0,144,79,0,0,0,144,79,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Alexander Hernandez,Jim Miller,win,0,185,67,1,1,0,186,68,0,234,108,0,1,0,238,111,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Nazim Sadykhov,Evan Elder,win,0,132,64,0,1,1,141,71,1,142,70,0,6,1,158,84,KO/TKO,3,0:38
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Mayra Bueno Silva,Lina Lansberg,win,0,50,25,0,0,0,72,40,0,69,39,1,3,2,90,58,"SUB

      

        Kneebar",2,4:45
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Jamall Emmers,Khusein Askhabov,win,0,144,62,0,3,1,170,79,0,114,30,0,6,0,127,40,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Philipe Lins,Ovince Saint Preux,win,0,3,1,0,0,0,3,1,1,44,18,0,0,0,44,18,"KO/TKO

      

        Punch",1,0:49
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,AJ Fletcher,Themba Gorimbo,win,0,17,7,1,0,0,35,23,0,10,6,0,2,2,26,15,"SUB

      

        Guillotine Choke",2,1:37
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Clayton Carpenter,Juancamilo Ronderos,win,0,5,3,3,0,0,5,3,0,7,1,0,1,1,56,46,"SUB

      

        Rear Naked Choke",1,3:13
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Serghei Spivac,Derrick Lewis,win,0,3,0,0,0,0,3,0,0,21,12,1,8,6,54,36,"SUB

      

        Arm Triangle",1,3:05
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Devin Clark,Da Woon Jung,win,0,52,18,0,5,1,78,43,0,70,39,0,11,3,136,96,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Marcin Tybura,Blagoy Ivanov,win,0,103,40,0,1,1,133,61,0,113,34,0,0,0,113,34,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Dooho Choi,Kyle Nelson,"draw


draw",0,78,50,0,0,0,114,79,0,58,20,0,10,5,80,39,M-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Adam Fugitt,Yusaku Kinoshita,win,0,24,10,0,1,0,25,11,0,33,21,0,7,4,54,33,"KO/TKO

      

        Elbows",1,4:36
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Anshul Jubli,Jeka Saragih,win,0,25,14,0,0,0,40,20,0,51,38,1,5,2,99,74,"KO/TKO

      

        Elbows",2,3:44
UFC Fight Night: Lewis vs. Spivac,2023-02-04,JeongYeong Lee,Yizha,win,0,57,25,0,0,0,105,66,0,58,24,0,21,5,74,37,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Rinya Nakamura,Toshiomi Kazama,win,0,10,4,0,0,0,10,4,2,25,11,0,0,0,25,11,"KO/TKO

      

        Punch",1,0:33
UFC Fight Night: Lewis vs. Spivac,2023-02-04,HyunSung Park,SeungGuk Choi,win,1,69,20,0,2,0,83,30,0,91,38,3,3,1,125,59,"SUB

      

        Rear Naked Choke",3,3:11
UFC Fight Night: Lewis vs. Spivac,2023-02-04,JunYong Park,Denis Tiuliulin,win,0,38,25,1,3,1,52,38,0,22,8,0,0,0,22,8,"SUB

      

        Rear Naked Choke",1,4:05
UFC Fight Night: Lewis vs. Spivac,2023-02-04,Tatsuro Taira,Jesus Aguilar,win,0,1,1,2,1,1,5,5,0,2,2,1,0,0,2,2,"SUB

      

        Triangle Armbar",1,4:20
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Islam Makhachev,Alexander Volkanovski,win,0,95,57,0,9,4,135,95,1,143,70,0,4,0,255,164,U-DEC,5,5:00
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Yair Rodriguez,Josh Emmett,win,0,107,62,1,0,0,143,98,0,52,22,0,4,1,72,35,"SUB

      

        Triangle Choke",2,4:19
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Jack Della Maddalena,Randy Brown,win,1,31,14,1,0,0,35,18,0,39,11,0,0,0,39,11,"SUB

      

        Rear Naked Choke",1,2:13
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Justin Tafa,Parker Porter,win,1,16,8,0,0,0,16,8,0,16,7,0,0,0,16,7,"KO/TKO

      

        Punch",1,1:06
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Jimmy Crute,Alonzo Menifield,"draw


draw",0,62,31,3,12,6,103,62,2,83,56,0,0,0,127,99,M-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Modestas Bukauskas,Tyson Pedro,win,0,81,45,0,3,2,90,54,0,109,44,0,0,0,121,56,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Josh Culibao,Melsik Baghdasaryan,win,0,45,16,1,0,0,45,16,0,44,26,0,0,0,44,26,"SUB

      

        Rear Naked Choke",2,2:02
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Kleydson Rodrigues,Shannon Ross,win,0,4,1,0,0,0,4,1,1,22,14,0,0,0,24,16,"KO/TKO

      

        Punches",1,0:59
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Jamie Mullarkey,Francisco Prado,win,0,104,59,0,4,3,126,78,0,75,28,1,2,0,78,31,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Jack Jenkins,Don Shainis,win,0,123,82,0,5,4,150,100,0,102,50,2,3,1,187,128,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Loma Lookboonmee,Elise Reed,win,0,27,17,1,3,2,34,22,0,29,17,0,0,0,60,41,"SUB

      

        Rear Naked Choke",2,0:44
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Blake Bilder,Shane Young,win,0,196,80,0,3,0,197,81,0,190,111,0,7,1,206,126,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,2023-02-11,Elves Brener,Zubaira Tukhugov,win,0,169,70,0,4,0,172,73,0,157,69,0,3,0,170,82,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Sean Strickland,Nassourdine Imavov,win,0,405,182,0,1,1,420,194,0,269,123,0,1,0,277,131,U-DEC,5,5:00
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Dan Ige,Damon Jackson,win,1,74,34,0,1,1,81,40,0,100,36,0,1,0,102,38,"KO/TKO

      

        Punch",2,4:13
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Roman Kopylov,Punahele Soriano,win,0,107,39,0,3,0,107,39,0,128,82,0,1,1,128,82,"KO/TKO

      

        Kick",2,3:19
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Raquel Pennington,Ketlen Vieira,win,0,152,64,0,0,0,230,138,0,159,81,0,2,0,184,104,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Umar Nurmagomedov,Raoni Barcelos,win,1,51,36,0,0,0,51,36,0,24,13,0,1,0,25,14,"KO/TKO

      

        Punch",1,4:40
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Javid Basharat,Mateus Mendonca,win,0,130,95,0,5,3,164,125,0,88,29,0,11,2,133,70,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Abdul Razak Alhassan,Claudio Ribeiro,win,0,31,19,0,0,0,54,42,1,28,17,0,2,0,41,30,"KO/TKO

      

        Punches",2,0:28
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Mateusz Rebecki,Nick Fiore,win,0,171,89,0,4,3,228,130,0,93,34,0,3,1,113,52,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Allan Nascimento,Carlos Hernandez,win,0,11,6,1,4,2,14,9,0,7,3,0,0,0,7,3,"SUB

      

        Rear Naked Choke",1,3:16
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Dan Argueta,Nick Aguirre,win,0,85,47,2,6,4,144,93,0,44,14,1,0,0,47,15,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,2023-01-14,Charles Johnson,Jimmy Flick,win,0,57,34,0,0,0,77,44,0,13,7,0,3,1,13,7,"KO/TKO

      

        Punches",1,4:33
UFC 283: Teixeira vs. Hill,2023-01-21,Jamahal Hill,Glover Teixeira,win,0,160,75,0,17,2,196,108,0,402,232,0,0,0,419,248,U-DEC,5,5:00
UFC 283: Teixeira vs. Hill,2023-01-21,Brandon Moreno,Deiveson Figueiredo,win,0,43,19,2,2,1,48,24,0,74,48,0,6,3,111,85,KO/TKO,3,5:00
UFC 283: Teixeira vs. Hill,2023-01-21,Gilbert Burns,Neil Magny,win,0,6,5,1,1,1,12,10,0,11,4,0,0,0,11,4,"SUB

      

        Arm Triangle",1,4:15
UFC 283: Teixeira vs. Hill,2023-01-21,Jessica Andrade,Lauren Murphy,win,0,293,100,0,15,0,296,103,0,369,231,0,1,1,375,237,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,2023-01-21,Johnny Walker,Paul Craig,win,0,8,3,0,0,0,8,3,1,20,16,0,0,0,21,17,"KO/TKO

      

        Punches",1,2:16
UFC 283: Teixeira vs. Hill,2023-01-21,Ihor Potieria,Mauricio Rua,win,0,31,17,0,0,0,35,21,1,41,21,0,2,0,47,27,"KO/TKO

      

        Punches",1,4:05
UFC 283: Teixeira vs. Hill,2023-01-21,Brunno Ferreira,Gregory Rodrigues,win,0,41,21,0,0,0,41,21,1,45,22,0,2,0,46,23,"KO/TKO

      

        Punch",1,4:13
UFC 283: Teixeira vs. Hill,2023-01-21,Thiago Moises,Melquizael Costa,win,0,33,22,1,7,4,58,45,0,50,23,0,0,0,71,43,"SUB

      

        Rear Naked Choke",2,4:05
UFC 283: Teixeira vs. Hill,2023-01-21,Gabriel Bonfim,Mounir Lazzez,win,0,22,9,1,0,0,22,9,0,13,9,0,1,0,13,9,"SUB

      

        Guillotine Choke",1,0:49
UFC 283: Teixeira vs. Hill,2023-01-21,Jailton Almeida,Shamil Abdurakhimov,win,0,1,1,0,0,0,3,3,0,57,45,0,5,3,110,89,"KO/TKO

      

        Punches",2,2:56
UFC 283: Teixeira vs. Hill,2023-01-21,Cody Stamann,Luan Lacerda,win,0,181,80,0,4,1,187,85,0,189,103,0,2,0,195,108,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,2023-01-21,Ismael Bonfim,Terrance McKinney,win,1,49,34,0,4,1,53,38,0,49,14,0,2,0,55,20,"KO/TKO

      

        Flying Knee",2,2:17
UFC 283: Teixeira vs. Hill,2023-01-21,Nicolas Dalby,Warlley Alves,win,0,144,66,0,3,1,153,75,0,248,119,0,1,0,298,167,S-DEC,3,5:00
UFC 283: Teixeira vs. Hill,2023-01-21,Josiane Nunes,Zarah Fairn,win,0,211,102,0,0,0,216,107,0,251,117,0,0,0,256,122,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,2023-01-21,Daniel Marcos,Saimon Oliveira,win,0,70,23,0,5,0,73,25,1,78,53,0,1,0,84,59,"KO/TKO

      

        Knees",2,2:18
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Jared Cannonier,Sean Strickland,win,0,310,141,0,0,0,310,141,0,400,152,0,1,1,410,157,S-DEC,5,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Arman Tsarukyan,Damir Ismagulov,win,0,81,34,0,21,7,105,50,0,86,36,0,0,0,106,51,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Amir Albazi,Alessandro Costa,win,2,81,37,0,4,1,110,62,0,71,17,0,0,0,107,38,"KO/TKO

      

        Punch",3,2:13
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Alex Caceres,Julian Erosa,win,1,30,16,0,0,0,30,16,0,22,10,0,0,0,22,10,"KO/TKO

      

        Kick",1,3:04
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Drew Dober,King Green,win,1,121,34,0,1,0,121,34,0,142,73,0,1,0,145,75,"KO/TKO

      

        Punch",2,2:45
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Michal Oleksiejczuk,Cody Brundage,win,0,2,0,0,3,3,3,1,0,29,15,0,0,0,40,25,"KO/TKO

      

        Punch",1,3:16
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Cory McKenna,Cheyanne Vlismas,win,0,74,33,1,0,0,113,66,0,81,22,0,3,2,216,103,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Matthew Semelsberger,Jake Matthews,win,0,89,32,1,2,1,140,74,3,116,45,0,5,3,129,54,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Said Nurmagomedov,Saidyokub Kakhramonov,win,0,18,7,3,2,0,34,21,0,30,11,1,12,5,65,32,"SUB

      

        Guillotine Choke",2,3:50
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Rafa Garcia,Maheshate,win,0,98,49,0,11,6,138,79,0,141,25,0,0,0,148,30,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Rinat Fakhretdinov,Bryan Battle,win,0,16,3,0,1,0,42,25,1,68,43,0,9,7,149,102,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Manel Kape,David Dvorak,win,0,94,33,0,3,2,122,55,1,119,58,2,0,0,136,67,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Sergey Morozov,Journey Newson,win,0,105,30,0,13,6,145,65,0,106,26,0,2,0,136,49,U-DEC,3,5:00
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Jan Blachowicz,Magomed Ankalaev,"draw


draw",0,117,55,0,0,0,141,79,0,184,78,0,10,2,312,191,S-DEC,5,5:00
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Paddy Pimblett,Jared Gordon,win,0,155,63,0,3,0,194,97,0,103,60,0,6,3,143,100,U-DEC,3,5:00
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Santiago Ponzinibbio,Alex Morono,win,1,155,66,0,1,0,155,66,1,131,38,0,0,0,131,38,"KO/TKO

      

        Punches",3,2:29
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Dricus Du Plessis,Darren Till,win,0,70,35,0,1,1,94,58,0,147,86,3,6,6,197,117,"SUB

      

        Neck Crank",3,2:43
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Ilia Topuria,Bryce Mitchell,win,0,82,36,0,9,1,94,46,1,77,40,1,0,0,93,53,"SUB

      

        Arm Triangle",2,3:10
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Raul Rosas Jr.,Jay Perrin,win,0,7,3,2,3,2,14,9,0,8,4,0,0,0,8,4,"SUB

      

        Neck Crank",1,2:44
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Jairzinho Rozenstruik,Chris Daukaus,win,1,21,12,0,0,0,21,12,0,1,1,0,0,0,1,1,"KO/TKO

      

        Punch",1,0:23
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Edmen Shahbazyan,Dalcha Lungiambula,win,0,107,54,0,0,0,113,60,0,48,23,0,4,0,51,26,"KO/TKO

      

        Punches",2,4:41
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Chris Curtis,Joaquin Buckley,win,1,87,36,0,0,0,87,36,0,163,50,0,0,0,163,50,"KO/TKO

      

        Punch",2,2:49
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Billy Quarantillo,Alexander Hernandez,win,0,151,87,0,4,2,194,127,0,94,48,1,6,2,105,59,"KO/TKO

      

        Punches",2,4:30
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,TJ Brown,Erik Silva,win,0,38,24,1,7,2,109,82,0,29,21,0,4,3,42,32,"SUB

      

        Arm Triangle",3,3:41
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Cameron Saaiman,Steven Koslow,win,0,89,53,0,0,0,149,105,0,29,11,1,9,5,42,20,"KO/TKO

      

        Punches",3,4:13
UFC Fight Night: Thompson vs. Holland,2022-12-03,Stephen Thompson,Kevin Holland,win,0,260,163,0,0,0,278,178,0,210,119,0,6,2,214,123,KO/TKO,4,5:00
UFC Fight Night: Thompson vs. Holland,2022-12-03,Rafael Dos Anjos,Bryan Barberena,win,0,29,14,0,0,0,79,61,0,25,20,2,6,4,41,36,"SUB

      

        Rear Naked Choke",2,3:20
UFC Fight Night: Thompson vs. Holland,2022-12-03,Matheus Nicolau,Matt Schnell,win,2,42,32,0,1,1,50,40,0,59,20,0,0,0,68,29,"KO/TKO

      

        Punch",2,1:44
UFC Fight Night: Thompson vs. Holland,2022-12-03,Sergei Pavlovich,Tai Tuivasa,win,0,10,2,0,0,0,10,2,2,44,23,0,0,0,44,23,"KO/TKO

      

        Punches",1,0:54
UFC Fight Night: Thompson vs. Holland,2022-12-03,Roman Dolidze,Jack Hermansson,win,0,79,47,0,3,2,80,48,0,54,25,3,0,0,73,39,"KO/TKO

      

        Punches",2,4:06
UFC Fight Night: Thompson vs. Holland,2022-12-03,Eryk Anders,Kyle Daukaus,win,1,94,49,0,1,1,159,97,0,79,37,0,8,0,83,38,"KO/TKO

      

        Punches",2,2:45
UFC Fight Night: Thompson vs. Holland,2022-12-03,Phil Rowe,Niko Price,win,0,247,110,0,2,0,293,150,0,139,63,2,2,1,140,64,"KO/TKO

      

        Punches",3,3:26
UFC Fight Night: Thompson vs. Holland,2022-12-03,Angela Hill,Emily Ducote,win,0,345,182,0,0,0,353,190,0,173,71,0,2,0,178,76,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,2022-12-03,Clay Guida,Scott Holtzman,win,0,183,66,0,15,4,215,95,0,166,65,0,0,0,178,77,S-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,2022-12-03,Michael Johnson,Marc Diakiese,win,0,181,83,0,3,0,181,83,0,127,55,0,6,0,127,55,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,2022-12-03,Jonathan Pearce,Darren Elkins,win,0,193,57,0,5,2,203,67,0,222,110,0,7,2,276,154,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,2022-12-03,Natan Levy,Genaro Valdez,win,0,135,67,0,10,6,137,69,0,158,49,0,0,0,173,62,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,2022-12-03,Francis Marshall,Marcelo Rojo,win,0,47,31,0,0,0,65,48,1,81,23,0,3,1,89,29,"KO/TKO

      

        Punch",2,1:14
UFC Fight Night: Thompson vs. Holland,2022-12-03,Yazmin Jauregui,Istela Nunes,win,2,154,67,0,3,0,200,103,1,60,36,0,0,0,63,39,"KO/TKO

      

        Punches",2,4:06
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Kennedy Nzechukwu,Ion Cutelaba,win,1,42,24,0,1,0,42,24,0,26,9,0,8,2,57,30,"KO/TKO

      

        Knee",2,1:02
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Waldo Cortes Acosta,Chase Sherman,win,0,177,66,0,2,1,187,73,0,278,147,0,0,0,282,149,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Muslim Salikhov,Andre Fialho,win,0,66,17,0,0,0,80,29,0,95,56,0,3,1,123,77,"KO/TKO

      

        Kick",3,1:03
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Jack Della Maddalena,Danny Roberts,win,2,60,33,0,0,0,68,41,0,33,5,0,1,0,33,5,"KO/TKO

      

        Punches",1,3:24
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Charles Johnson,Zhalgas Zhumagulov,win,0,209,115,0,2,0,237,141,0,234,119,0,4,1,258,141,S-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Jennifer Maia,Maryna Moroz,win,0,253,109,0,0,0,261,117,0,272,80,0,0,0,276,84,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Miles Johns,Vince Morales,win,0,131,39,0,0,0,139,47,0,103,38,0,12,1,110,45,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Ricky Turcios,Kevin Natividad,win,0,115,68,1,5,2,224,170,1,81,41,0,13,7,109,61,S-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Vanessa Demopoulos,Maria Oliveira,win,1,80,55,0,4,2,154,121,0,154,83,0,0,0,166,95,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Brady Hiestand,Fernie Garcia,win,0,34,19,1,8,3,82,56,0,44,21,1,2,1,125,86,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Natalia Silva,Tereza Bleda,win,1,72,45,0,3,0,89,62,0,47,18,2,7,1,55,25,"KO/TKO

      

        Spinning Back Kick",3,1:27
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Amanda Lemos,Marina Rodriguez,win,0,52,19,0,0,0,78,44,0,53,29,1,2,1,67,43,"KO/TKO

      

        Punches",3,0:54
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Neil Magny,Daniel Rodriguez,win,0,109,57,1,7,5,169,106,0,108,66,0,1,0,113,71,"SUB

      

        D'Arce Choke",3,3:33
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Shayilan Nuerdanbieke,Darrick Minner,win,0,5,5,0,0,0,5,5,1,36,19,0,0,0,50,32,"KO/TKO

      

        Elbows",1,1:07
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Tagir Ulanbekov,Nate Maness,win,0,9,4,1,2,1,14,9,0,10,4,0,0,0,30,23,"SUB

      

        Guillotine Choke",1,2:11
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Grant Dawson,Mark Madsen,win,1,49,33,2,6,2,96,73,0,30,15,0,0,0,70,50,"SUB

      

        Rear Naked Choke",3,2:05
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Miranda Maverick,Shanna Young,win,0,108,63,1,8,5,240,172,0,82,29,0,0,0,82,29,U-DEC,3,5:00
